,Number of Beds,FTE - Employees on Payroll,Inpatient Revenue,Outpatient Revenue
2823,42.0,277.41,50149268.0,107447141.0
2824,36.0,2684.0,48778831.0,172132926.0
2825,30.0,257.0,46069324.0,214736853.0
2826,68.0,953.48,93241521.0,389855161.0
2827,110.0,590.04,156772920.0,200215140.0
2828,87.0,564.9,114323293.0,231933308.0
2829,173.0,674.36,229685770.0,233255423.0
2830,37.0,236.99,15093804.0,65326759.0
2831,110.0,444.41,312855736.0,315584966.0
2832,36.0,367.95,34694897.0,117371359.0
2833,193.0,1603.61,204660836.0,431016412.0
2836,291.0,1462.98,527260778.0,520603045.0
2837,232.0,1358.45,406433873.0,437548951.0
2838,333.0,3565.52,821555577.0,1078020595.0
2839,47.0,182.13,14410711.0,79797909.0
2840,324.0,2257.13,446018159.0,689748912.0
2841,248.0,672.1,1002984914.0,669247431.0
2842,42.0,321.09,43068793.0,131393838.0
2843,515.0,3203.0,1222549667.0,743060713.0
2844,356.0,2819.34,723826533.0,760065263.0
2845,122.0,948.2,251105264.0,325627871.0
2846,16.0,80.75,1735479.0,15116700.0
2848,45.0,211.32,52299353.0,185057676.0
2849,48.0,292.77,106544029.0,208163843.0
2850,164.0,544.4,352608473.0,429718221.0
2851,107.0,484.27,434389809.0,519479037.0
2852,38.0,153.94,16550121.0,55287565.0
2853,109.0,354.0,113802407.0,120443243.0
2854,177.0,794.32,661246666.0,797007776.0
2855,48.0,324.07,128599303.0,248720835.0
2856,63.0,435.19,138437888.0,278254539.0
2857,20.0,60.7,2694260.0,11904798.0
2858,138.0,458.92,137645227.0,313814718.0
2859,215.0,1109.68,350095413.0,827971523.0
2860,378.0,1789.37,1108937957.0,982535348.0
2861,225.0,1170.46,693087156.0,739674040.0
2862,34.0,200.0,48497775.0,92805906.0
2863,66.0,629.28,111021352.0,251662080.0
2864,92.0,287.38,66444824.0,199338785.0
2865,141.0,433.96,106232599.0,166144022.0
2866,56.0,84.73,12998635.0,49010259.0
2867,90.0,381.92,110253264.0,211148390.0
2868,165.0,718.38,199295213.0,221798232.0
2869,330.0,2634.42,919863062.0,1112195269.0
2870,49.0,172.44,12794734.0,29339781.0
2871,25.0,303.3,14658861.0,118262295.0
2873,136.0,680.66,291209462.0,373628786.0
2874,72.0,444.18,210915042.0,469144816.0
2876,109.0,738.79,155111723.0,191289483.0
2877,423.0,5070.12,683287507.0,972852416.0
2878,256.0,2085.45,452964392.0,926624230.0
2879,145.0,437.81,24157413.0,11009230.0
2881,49.0,399.94,48869917.0,181412530.0
2882,25.0,187.9,8318349.0,38249810.0
2884,42.0,336.02,48088518.0,174214973.0
2885,49.0,441.38,58355299.0,223286903.0
