code,count,mean,std,min,25%,50%,75%,max
20077-4,271.0,5.428044280442805,2.394706247715322,0.0,5.0,5.0,6.0,16.0
20079-0,33.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0
20081-6,0.0,,,,,,,
20112-9,173.0,164.41098265895954,249.2779812631541,0.45,0.45,0.55,450.0,650.0
20116-0,57.0,486.140350877193,113.40090680484174,58.0,435.0,492.0,542.0,760.0
20124-4,0.0,,,,,,,
20149-1,1.0,2.04,,2.04,2.04,2.04,2.04,2.04
20150-9,13.0,44.65538461538461,154.84530412723666,0.08,0.8,2.07,2.5,560.0
20152-5,1.0,116.0,,116.0,116.0,116.0,116.0,116.0
2019-8,143.0,46.583216783216784,17.65207958069237,19.2,36.0,41.0,50.5,147.0
2020-6,1.0,29.0,,29.0,29.0,29.0,29.0,29.0
2021-4,51.0,47.71568627450981,11.991236342413066,21.0,38.5,49.0,52.5,89.0
2026-3,3.0,16.233333333333334,5.139390365922142,11.5,13.5,15.5,18.6,21.7
2027-1,15.0,22.446666666666665,4.56302948656242,15.0,19.0,22.7,25.5,32.0
2028-9,1021.0,26.324191968658177,3.3198293805635672,14.0,24.0,26.0,28.0,45.0
2039-6,15.0,30.306666666666665,89.08509949694702,0.7,1.4,2.1,3.05,348.2
20404-0,0.0,,,,,,,
20405-7,101.0,0.30297029702970296,0.2692416927389049,0.2,0.2,0.2,0.2,1.0
20408-1,0.0,,,,,,,
20433-9,2.0,8.3,4.808326112068523,4.9,6.6,8.3,10.0,11.7
20436-2,16.0,118.3125,41.63927432925154,62.0,92.25,109.0,146.0,203.0
20437-0,6.0,105.5,20.15688467993008,83.0,95.0,97.0,120.75,133.0
20438-8,23.0,145.1304347826087,44.62704474340245,58.0,124.0,145.0,172.5,210.0
20439-6,1.0,135.0,,135.0,135.0,135.0,135.0,135.0
20448-7,7.0,11.628571428571428,5.568277497190158,3.8,7.5,14.0,14.3,20.0
20449-5,0.0,,,,,,,
20453-7,0.0,,,,,,,
20454-5,0.0,,,,,,,
20468-5,1.0,10.0,,10.0,10.0,10.0,10.0,10.0
20495-8,7.0,4.428571428571429,1.9023794624226837,2.0,3.0,4.0,6.0,7.0
20496-6,8.0,3.625,1.8468119248354136,2.0,3.0,3.0,3.25,8.0
20502-1,0.0,,,,,,,
20507-0,0.0,,,,,,,
20509-6,36.0,12.247222222222224,2.601261903781219,5.4,10.8,12.95,13.9,18.4
20563-3,4.0,1.4500000000000002,1.5110702608857516,0.3,0.45,0.95,1.95,3.6
20565-8,11.0,24.545454545454547,3.6156226673599763,17.0,23.5,25.0,26.0,31.0
20569-0,2.0,3.05,0.07071067811865482,3.0,3.025,3.05,3.075,3.1
20570-8,179.0,38.37988826815643,6.806254393118902,16.0,34.65,39.8,43.150000000000006,54.0
20572-4,11.0,95.4090909090909,5.046474917297133,80.6,95.95,97.3,97.6,97.8
20578-1,82.0,12.060975609756099,8.241130752115989,2.6,6.225,9.8,16.675,42.9
20592-2,1.0,280.0,,280.0,280.0,280.0,280.0,280.0
20593-0,1.0,16.0,,16.0,16.0,16.0,16.0,16.0
20598-9,1.0,1274.0,,1274.0,1274.0,1274.0,1274.0,1274.0
20599-7,1.0,75.0,,75.0,75.0,75.0,75.0,75.0
20605-2,1.0,771.0,,771.0,771.0,771.0,771.0,771.0
20606-0,1.0,45.0,,45.0,45.0,45.0,45.0,45.0
20613-6,1.0,419.0,,419.0,419.0,419.0,419.0,419.0
20614-4,1.0,25.0,,25.0,25.0,25.0,25.0,25.0
20620-1,1.0,7.0,,7.0,7.0,7.0,7.0,7.0
20629-2,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
20633-4,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
20634-2,2.0,17.5,17.67766952966369,5.0,11.25,17.5,23.75,30.0
20635-9,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
20636-7,2.0,400.0,121.62236636408618,314.0,357.0,400.0,443.0,486.0
20637-5,2.0,98.0,31.11269837220809,76.0,87.0,98.0,109.0,120.0
20638-3,2.0,47.0,2.8284271247461903,45.0,46.0,47.0,48.0,49.0
20639-1,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
2064-4,7.0,26.385714285714283,9.5799145040424,14.0,20.5,24.7,32.5,40.0
20640-9,2.0,28.0,7.0710678118654755,23.0,25.5,28.0,30.5,33.0
20642-5,2.0,52.0,7.0710678118654755,47.0,49.5,52.0,54.5,57.0
