premis_desc,premis_desc_ordinal
MUSCLE BEACH,209
MUSEUM,210
NAIL SALON,211
NIGHT CLUB (OPEN EVENINGS ONLY),212
NURSERY/FLOWER SHOP,213
NURSING/CONVALESCENT/RETIREMENT HOME,214
OFFICE BUILDING/OFFICE,215
OIL REFINERY,216
OPTICAL OFFICE INSIDE STORE OR SUPERMARKET*,217
OTHER BUSINESS,218
"OTHER INTERSTATE, CHARTER BUS",219
OTHER PLACE OF WORSHIP,220
OTHER PREMISE,221
OTHER RESIDENCE,222
"OTHER RR TRAIN (UNION PAC, SANTE FE ETC",223
OTHER STORE,224
OTHER/OUTSIDE,225
PARK/PLAYGROUND,226
PARKING LOT,227
PARKING UNDERGROUND/BUILDING,228
PATIO*,229
PAWN SHOP,230
PAY PHONE,231
PEDESTRIAN OVERCROSSING,232
PET STORE,233
PHARMACY INSIDE STORE OR SUPERMARKET*,234
POLICE FACILITY,235
POOL-PUBLIC/OUTDOOR OR INDOOR*,236
"PORCH, RESIDENTIAL",237
POST OFFICE,238
PRIVATE SCHOOL/PRESCHOOL,239
PROJECT/TENEMENT/PUBLIC HOUSING,240
PUBLIC RESTROOM(INDOORS-INSIDE),241
PUBLIC RESTROOM/OUTSIDE*,242
PUBLIC STORAGE,243
RECORD-CD MUSIC/COMPUTER GAME STORE,244
RECYCLING CENTER,245
RESTAURANT/FAST FOOD,246
RETIRED (DUPLICATE) DO NOT USE THIS CODE,247
RIVER BED*,248
SAVINGS & LOAN,249
SEWAGE FACILITY/PIPE,250
SEX ORIENTED/BOOK STORE/STRIP CLUB/GENTLEMAN'S CLUB,251
SHOPPING MALL (COMMON AREA),252
SHORT-TERM VACATION RENTAL,253
SIDEWALK,254
SINGLE FAMILY DWELLING,255
SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,256
SKATEBOARD FACILITY/SKATEBOARD PARK*,257
SKATING RINK*,258
SLIPS/DOCK/MARINA/BOAT,259
SPECIALTY SCHOOL/OTHER,260
SPORTS ARENA,261
"SPORTS VENUE, OTHER",262
STAIRWELL*,263
STAPLES CENTER *,264
STORAGE SHED,265
STREET,266
STUDIO (FILM/PHOTOGRAPHIC/MUSIC),267
SURPLUS SURVIVAL STORE,268
SWAP MEET,269
SYNAGOGUE/TEMPLE,270
TATTOO PARLOR*,271
TAXI,272
TELECOMMUNICATION FACILITY/LOCATION,273
"TERMINAL, OTHER THAN MTA",274
THE BEVERLY CENTER,275
THE BEVERLY CONNECTION,276
THE GROVE,277
THEATRE/MOVIE,278
TOBACCO SHOP,279
TOOL SHED*,280
TOW YARD*,281
TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*,282
"TRAIN DEPOT/TERMINAL, OTHER THAN MTA",283
TRAIN TRACKS,284
"TRAIN, OTHER THAN MTA (ALSO QUERY 809/810/811)",285
TRAM/STREETCAR(BOXLIKE WAG ON RAILS)*,286
TRANSIENT ENCAMPMENT,287
TRANSITIONAL HOUSING/HALFWAY HOUSE,288
TRANSPORTATION FACILITY (AIRPORT),289
TRASH CAN/TRASH DUMPSTER,290
"TRUCK, COMMERICAL",291
TUNNEL,292
TV/RADIO/APPLIANCE,293
UNDERPASS/BRIDGE*,294
VACANT LOT,295
VALET,296
"VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)",297
"VEHICLE, PASSENGER/TRUCK",298
VETERINARIAN/ANIMAL HOSPITAL,299
VIDEO RENTAL STORE,300
VISION CARE FACILITY*,301
WAREHOUSE,302
WATER FACILITY,303
WEBSITE,304
YARD (RESIDENTIAL/BUSINESS),305
,306
